iter	Passed	Remaining
819	24852	35763
820	24885	35736
821	24916	35707
822	24951	35683
823	24985	35659
824	25018	35632
825	25051	35605
826	25084	35579
827	25117	35553
828	25153	35530
829	25189	35508
830	25224	35484
831	25259	35460
832	25294	35436
833	25327	35410
834	25359	35381
835	25391	35354
836	25424	35326
837	25455	35297
838	25488	35270
839	25521	35243
840	25554	35216
841	25585	35187
842	25617	35159
843	25650	35132
844	25683	35105
845	25717	35079
846	25749	35052
847	25781	35023
848	25815	34998
849	25846	34968
850	25879	34941
851	25909	34910
852	25940	34881
853	25971	34851
854	26003	34823
855	26034	34794
856	26068	34768
857	26101	34740
858	26132	34711
859	26162	34681
860	26193	34651
861	26225	34622
862	26257	34593
863	26290	34567
864	26322	34538
865	26355	34511
866	26387	34483
867	26419	34454
868	26450	34425
869	26482	34397
870	26515	34369
871	26546	34340
872	26577	34310
873	26609	34282
874	26641	34253
875	26674	34226
876	26705	34195
877	26739	34169
878	26772	34143
879	26803	34113
880	26833	34082
881	26864	34052
882	26895	34023
883	26927	33993
884	26961	33968
885	26995	33942
886	27026	33913
887	27059	33885
888	27091	33856
889	27123	33828
890	27154	33798
891	27185	33768
892	27219	33742
893	27252	33714
894	27286	33688
895	27317	33659
896	27349	33630
897	27380	33601
898	27414	33574
899	27446	33545
900	27476	33515
901	27508	33486
902	27540	33456
903	27572	33428
904	27605	33400
905	27646	33382
906	27680	33357
907	27713	33329
908	27745	33301
909	27779	33274
910	27812	33246
911	27844	33218
912	27879	33193
913	27911	33163
914	27944	33136
915	27975	33106
916	28006	33076
917	28036	33044
918	28069	33016
919	28101	32988
920	28133	32959
921	28165	32931
922	28196	32900
923	28226	32870
924	28259	32841
925	28291	32813
926	28325	32786
927	28357	32758
928	28389	32729
929	28420	32698
930	28453	32671
931	28485	32642
932	28521	32617
933	28555	32590
934	28588	32562
935	28592	32502
936	28624	32473
937	28656	32444
938	28688	32416
939	28719	32386
940	28754	32359
941	28786	32330
942	28816	32300
943	28846	32269
944	28878	32240
945	28911	32212
946	28944	32184
947	28976	32155
948	29009	32127
949	29040	32097
950	29073	32069
951	29106	32041
952	29138	32012
953	29171	31984
954	29204	31956
955	29236	31927
956	29267	31897
957	29299	31868
958	29330	31838
959	29361	31808
960	29391	31777
961	29424	31749
962	29457	31720
963	29490	31693
964	29523	31665
965	29557	31637
966	29589	31609
967	29621	31580
968	29655	31553
969	29689	31525
970	29721	31496
971	29751	31465
972	29783	31435
973	29814	31406
974	29845	31376
975	29877	31347
976	29911	31319
977	29944	31291
978	29975	31261
979	30006	31231
980	30038	31202
981	30069	31172
982	30101	31142
983	30134	31114
984	30167	31086
985	30200	31057
986	30233	31030
987	30265	31000
988	30297	30971
989	30333	30946
990	30366	30918
991	30399	30889
992	30434	30863
993	30467	30835
994	30502	30809
995	30535	30780
996	30569	30753
997	30601	30723
998	30632	30693
999	30665	30665
1000	30695	30633
1001	30727	30604
1002	30760	30576
1003	30791	30546
1004	30822	30515
1005	30853	30485
1006	30885	30455
1007	30916	30425
1008	30948	30396
1009	30980	30366
1010	31012	30337
1011	31043	30307
1012	31076	30279
1013	31105	30247
1014	31137	30216
1015	31167	30185
1016	31200	30157
1017	31235	30130
1018	31268	30102
1019	31302	30074
1020	31333	30044
1021	31365	30014
1022	31396	29985
1023	31430	29957
1024	31463	29928
1025	31495	29899
1026	31527	29869
1027	31560	29841
1028	31592	29812
1029	31625	29783
1030	31658	29754
1031	31691	29726
1032	31721	29694
1033	31753	29664
1034	31784	29635
